alpha,lr,pos_weight,ratio,run_name,best_f1,best_threshold
0.2,8e-06,1.5,3.0,run_056,0.5754985754980798,0.7883714437484741
0.2,8e-06,1.5,3.5,run_057,0.5859154929572519,0.7133671045303345
0.2,8e-06,2.0,2.5,run_058,0.5424657534241657,0.5720793008804321
0.2,8e-06,2.0,3.0,run_059,0.5852272727267773,0.7919045090675354
0.2,8e-06,2.0,3.5,run_060,0.579387186629033,0.6327940225601196
0.2,8e-06,2.5,2.5,run_061,0.5369127516773939,0.6839722990989685
0.2,8e-06,2.5,3.0,run_062,0.5675675675670774,0.7955581545829773
0.2,8e-06,2.5,3.5,run_063,0.5988023952090819,0.8875158429145813
0.2,1e-05,1.5,2.5,run_064,0.5885558583101356,0.5448193550109863
0.2,1e-05,1.5,3.0,run_065,0.5866666666661782,0.7304467558860779
0.2,1e-05,1.5,3.5,run_066,0.6027397260269055,0.5404687523841858
0.2,1e-05,2.0,2.5,run_067,0.5459183673464565,0.4309035539627075
0.2,1e-05,2.0,3.0,run_068,0.5835543766573371,0.8413506150245667
0.2,1e-05,2.0,3.5,run_069,0.5944584382866734,0.43547722697257996
0.2,1e-05,2.5,2.5,run_070,0.578313253011549,0.7210083603858948
0.2,1e-05,2.5,3.0,run_071,0.5799457994575039,0.7735869288444519
0.2,1e-05,2.5,3.5,run_072,0.5810055865916851,0.7618398666381836
0.2,2e-05,1.5,2.5,run_073,0.580645161289833,0.8983587622642517
0.2,2e-05,1.5,3.0,run_074,0.5971830985910548,0.9094613790512085
0.2,2e-05,1.5,3.5,run_075,0.5910290237462147,0.6588915586471558
0.2,2e-05,2.0,2.5,run_076,0.5691489361697247,0.4811360239982605
0.2,2e-05,2.0,3.0,run_077,0.6081871345024263,0.9129284024238586
0.2,2e-05,2.0,3.5,run_078,0.6011235955051237,0.8665082454681396
0.2,2e-05,2.5,2.5,run_079,0.5745856353586233,0.6571434140205383
0.2,2e-05,2.5,3.0,run_080,0.5899705014744281,0.8709111213684082
0.2,2e-05,2.5,3.5,run_081,0.5833333333328481,0.5303357243537903
0.25,8e-06,1.5,2.5,run_082,0.5785123966937223,0.5758338570594788
0.25,8e-06,1.5,3.0,run_083,0.564999999999521,0.666480302810669
0.25,8e-06,1.5,3.5,run_084,0.5983827493256556,0.603066086769104
0.25,8e-06,2.0,2.5,run_085,0.5469168900799397,0.6314588189125061
0.25,8e-06,2.0,3.0,run_086,0.5779036827190517,0.82518070936203
0.25,8e-06,2.0,3.5,run_087,0.599999999999504,0.7240278124809265
0.25,8e-06,2.5,2.5,run_088,0.5643835616433438,0.6089299321174622
0.25,8e-06,2.5,3.0,run_089,0.5628415300541533,0.7604544758796692
0.25,8e-06,2.5,3.5,run_090,0.5868945868940914,0.8195487856864929
0.25,1e-05,1.5,2.5,run_091,0.5714285714280714,0.826614499092102
0.25,1e-05,1.5,3.0,run_092,0.5699208443266897,0.5506896376609802
0.25,1e-05,1.5,3.5,run_093,0.5972602739721109,0.6894384026527405
0.25,1e-05,2.0,2.5,run_094,0.5840220385670007,0.6488145589828491
0.25,1e-05,2.0,3.0,run_095,0.573208722740933,0.9111377000808716
0.25,1e-05,2.0,3.5,run_096,0.6158038147134053,0.7321084141731262
0.25,1e-05,2.5,2.5,run_097,0.5847953216369293,0.7636318802833557
0.25,1e-05,2.5,3.0,run_098,0.5889212827983364,0.8041703104972839
0.25,1e-05,2.5,3.5,run_099,0.60795454545405,0.8278974294662476
0.25,2e-05,1.5,2.5,run_100,0.5791044776114415,0.8528009653091431
0.25,2e-05,1.5,3.0,run_101,0.5792349726771042,0.8922532200813293
0.25,2e-05,1.5,3.5,run_102,0.6026666666661782,0.5576096177101135
0.25,2e-05,2.0,2.5,run_103,0.5615763546793264,0.8555488586425781
0.25,2e-05,2.0,3.0,run_104,0.5940054495907895,0.8353314399719238
0.25,2e-05,2.0,3.5,run_105,0.594164456232934,0.41440629959106445
0.25,2e-05,2.5,2.5,run_106,0.5842696629208539,0.9725548028945923
0.25,2e-05,2.5,3.0,run_107,0.5965909090904138,0.9170531630516052
0.25,2e-05,2.5,3.5,run_108,0.587257617728039,0.831745982170105
